,School Name,Overall Rating,Facilities,Reputation,Opportunities,Happiness,Location,Safety,Clubs,Social,Internet,Food
0,Baruch College,3.4,3.2,4.0,3.8,3.5,4.2,4.1,3.4,2.9,3.2,2.8
1,Fordham University - Rose Hill,3.8,4.2,4.3,4.2,4.2,4.1,3.8,3.7,3.7,3.0,2.5
2,City College of New York,3.2,3.3,3.5,3.3,3.3,3.3,3.2,3.1,2.9,3.0,2.6
3,Hunter College,3.0,2.8,3.6,3.1,3.1,3.8,3.9,2.8,2.5,3.1,2.4
4,CUNY Queens College,3.3,3.6,3.6,3.2,3.4,3.5,4.0,3.1,2.8,3.1,2.8
5,The New School,3.5,3.5,3.9,3.8,3.6,4.7,3.8,2.7,2.7,3.7,3.5
6,Brooklyn College,3.4,3.7,3.7,3.4,3.7,3.7,3.5,3.2,3.0,3.1,2.9
7,Yeshiva University,3.8,3.1,4.1,4.3,4.0,3.8,3.8,3.6,3.6,4.0,3.4
8,Fashion Institute of Technology,3.4,3.0,4.3,4.1,3.6,4.4,4.0,3.2,2.7,3.2,2.5
9,John Jay College of Criminal Justice,3.7,3.7,4.0,3.8,3.9,4.1,4.4,3.5,3.2,3.3,3.3
10,Montclair State University,3.3,3.5,3.5,3.4,3.5,3.8,4.0,3.2,3.0,3.1,2.8
11,New York City College of Technology,2.8,2.6,2.8,2.8,2.9,3.4,3.7,2.6,2.5,2.5,2.5
12,Drew University,3.8,4.1,4.0,4.1,4.2,4.2,4.3,3.7,3.6,3.5,2.4
13,Manhattan College,3.6,3.7,4.0,3.9,4.0,3.9,3.6,3.2,3.3,3.4,2.6
14,SUNY Maritime College,3.0,3.1,4.1,4.3,2.8,3.3,4.2,2.6,2.1,2.0,2.0
15,York College,2.5,2.9,2.9,2.1,3.1,2.1,2.4,2.4,2.7,2.1,2.1
16,Marymount University,3.1,3.1,3.2,3.5,3.3,4.2,3.6,3.2,3.0,3.0,2.5
17,Hofstra University,3.8,4.1,3.7,3.8,3.9,3.3,3.6,3.8,3.5,3.8,3.3
18,Lehman College,3.5,3.8,3.6,3.4,3.8,3.7,3.7,3.2,3.1,3.5,3.2
19,Pace University,2.9,2.7,3.7,3.4,2.2,3.2,3.6,2.3,2.4,2.3,2.0
20,Sarah Lawrence College,3.6,3.6,4.2,3.9,3.9,4.1,3.8,3.3,3.0,3.6,2.9
21,Vaughn College of Aeronautics and Technology,2.7,2.8,2.6,3.2,2.4,2.4,2.0,3.0,2.2,2.4,2.2
22,College of Staten Island (CUNY - Staten Island),3.1,3.3,2.9,3.1,3.3,3.3,3.8,2.9,2.8,3.0,2.6
23,Medgar Evers College,3.0,3.0,2.9,2.9,3.2,3.2,3.1,2.7,2.8,3.2,2.9
24,Stevens Institute of Technology,3.7,3.5,4.1,4.2,3.8,4.8,4.5,3.6,3.4,3.6,3.2
25,Stevens Institute of Technology,3.7,3.5,4.1,4.2,3.8,4.8,4.5,3.6,3.4,3.6,3.2
26,Purchase College (SUNY Purchase),3.0,2.7,3.3,3.2,3.4,3.2,3.3,3.1,3.1,2.8,2.5
27,Kean University (all campuses),3.6,3.9,3.5,3.5,3.7,3.7,4.2,3.4,3.2,3.2,3.2
28,St. Francis College,3.3,3.3,3.3,3.3,3.3,4.0,4.2,3.0,2.8,3.4,3.2
29,Molloy College,3.5,3.3,4.0,3.7,3.6,3.6,4.5,3.3,3.0,3.3,2.8
30,Plaza College,4.1,3.4,4.2,4.2,4.0,4.2,5.0,4.0,4.0,4.2,3.8
31,Saint Elizabeth University,3.3,3.4,3.6,3.5,3.7,3.8,3.9,2.8,2.5,3.2,2.7
32,Monmouth University,3.6,4.2,3.6,3.6,3.8,4.2,4.3,3.5,3.2,3.2,2.9
33,St. John's University - Jamaica/Queens,3.6,3.8,3.7,3.8,3.6,3.6,3.8,3.4,3.3,3.5,3.0
34,Iona University,3.5,3.9,3.4,3.6,3.6,3.9,3.8,3.3,3.1,3.1,3.3
35,St. Thomas Aquinas College,3.5,3.7,3.6,3.4,3.9,3.6,4.6,3.4,3.0,3.0,3.0
36,Mercy College,2.8,2.9,2.8,2.8,2.8,3.1,3.5,2.5,2.4,2.7,2.4
37,Monroe College,3.8,3.9,3.9,3.9,4.0,3.8,4.6,3.7,3.6,3.4,3.7
38,Webb Institute,0.0,4.4,5.0,4.9,4.4,4.1,0.0,4.3,4.0,4.6,3.7
39,Webb Institute,0.0,4.4,5.0,4.9,4.4,4.1,0.0,4.3,4.0,4.6,3.7
40,Metropolitan College of New York,2.8,2.9,2.9,3.1,3.3,4.1,4.0,1.6,2.1,3.4,1.7
41,ASA College,1.7,1.7,2.0,1.6,1.8,2.6,1.3,1.7,1.6,1.6,1.6
42,Manhattanville College,3.1,3.0,3.1,3.3,3.1,3.5,4.0,3.0,2.9,3.3,2.6
43,New York University,4.0,3.9,4.5,4.4,4.1,4.6,3.5,3.8,3.7,3.9,3.7
44,Stony Brook University (SUNY),3.3,3.3,3.8,3.4,3.1,3.2,4.2,3.3,2.8,3.2,2.6
45,Seton Hall University,3.4,3.5,3.8,3.8,3.6,3.1,3.3,3.3,3.1,3.4,2.6
46,Adelphi University,3.5,4.0,3.6,3.6,3.6,3.9,4.3,3.5,3.1,3.4,2.7
47,Farmingdale State College,3.2,3.3,3.4,3.2,3.3,3.6,4.3,2.8,2.6,3.2,2.9
48,Wells College,3.2,3.5,3.5,3.0,3.4,3.3,3.7,3.3,3.0,3.2,2.2
49,Niagara University,3.7,3.8,4.1,4.0,4.0,3.8,4.2,3.8,3.6,3.2,2.8
50,Columbia University,3.8,3.9,4.7,4.2,3.7,4.4,3.2,3.5,3.4,3.8,3.2
51,Long Island University,2.9,2.8,2.9,2.9,2.9,3.7,3.5,2.8,2.7,2.9,2.6
52,Purchase College (SUNY Purchase),3.0,2.7,3.3,3.2,3.4,3.2,3.3,3.1,3.1,2.8,2.5
53,Rutgers Law School - Newark,4.1,4.0,4.0,4.0,4.5,4.0,3.0,5.0,4.0,4.5,4.5
54,New Jersey Institute of Technology,3.0,2.9,3.5,3.3,2.8,2.5,2.8,2.8,2.5,3.5,2.7
55,Vassar College,4.3,4.5,4.7,4.3,4.6,3.5,4.4,4.2,4.0,3.9,3.3
56,Fairfield University,4.0,4.4,4.3,4.2,4.3,4.4,4.7,3.7,3.8,3.6,3.0
57,Seton Hall University,3.4,3.5,3.8,3.8,3.6,3.1,3.3,3.3,3.1,3.4,2.6
58,Cornell University,4.4,4.6,4.8,4.5,4.3,3.5,4.4,4.3,4.0,4.4,4.4
59,Colgate University,4.2,4.6,4.7,4.5,4.5,3.2,4.2,4.1,4.2,3.7,3.2
60,Hamilton College,4.2,4.6,4.7,4.4,4.4,3.0,4.2,3.9,3.8,4.2,3.5
61,University of Rochester,3.7,4.1,4.3,3.8,3.8,3.2,3.5,3.7,3.3,3.5,3.0
62,Skidmore College,3.9,4.0,4.3,3.8,4.0,4.2,4.3,3.8,3.4,3.3,4.1
63,Union College,3.2,3.3,3.2,3.2,3.3,3.2,4.0,3.1,3.2,3.0,3.0
64,Binghamton University (SUNY),3.7,3.8,4.1,3.8,3.9,3.1,3.7,3.8,3.8,3.7,3.1
65,Syracuse University,3.9,4.2,4.2,4.1,4.1,3.4,3.0,4.0,4.1,3.9,3.3
66,University at Buffalo (SUNY Buffalo),3.9,3.8,3.9,3.8,3.9,3.6,4.0,3.9,3.8,3.8,3.7
67,St. Bonaventure University,4.1,4.3,4.2,4.2,4.6,3.3,4.5,4.1,4.4,3.4,3.1
68,Rochester Institute of Technology,4.0,3.9,4.3,4.4,4.1,3.5,4.2,4.0,3.3,4.6,3.2
69,St. Lawrence University,4.3,4.4,4.5,4.4,4.5,3.2,4.6,4.1,4.3,4.2,4.1
70,Clarkson University,3.3,2.8,4.3,4.1,3.1,2.7,4.1,3.5,3.1,2.9,2.4
71,D'Youville College,3.1,3.0,3.7,3.7,3.7,2.7,2.6,2.9,2.8,3.1,2.6
72,St. John Fisher University,4.0,4.3,4.1,3.9,4.0,4.1,4.6,3.5,3.3,3.7,4.3
73,SUNY New Paltz,3.6,3.7,3.8,3.5,3.9,4.1,4.2,3.6,3.6,3.5,2.8
74,Marist College,4.0,4.5,4.2,4.2,4.3,3.8,4.1,3.9,3.8,3.5,3.0
75,Le Moyne College,3.3,3.4,4.0,3.5,3.6,3.2,3.6,3.3,3.3,2.7,2.7
76,SUNY Oneonta,3.8,4.1,3.7,3.6,4.1,3.4,4.3,3.9,4.0,3.4,3.1
77,University at Albany (SUNY Albany),3.5,3.4,3.5,3.7,3.7,3.6,3.3,3.7,3.7,3.0,2.8
78,Nazareth College,3.5,3.8,3.9,3.6,3.7,4.1,4.4,3.3,3.2,3.2,2.5
79,Ithaca College,3.8,3.8,4.0,4.0,4.2,4.0,4.3,4.0,3.8,3.0,3.0
80,Utica University,3.3,3.4,3.3,3.6,3.4,3.1,3.7,3.5,3.2,3.3,2.3
81,SUNY Oswego,3.7,3.8,3.6,3.7,4.0,3.5,4.1,3.9,3.9,3.0,3.4
82,SUNY Plattsburgh,3.6,3.6,3.4,3.4,3.9,3.5,3.7,3.7,3.7,3.4,2.9
83,SUNY Cortland,3.7,3.9,3.8,3.7,4.0,3.2,3.8,4.1,4.1,2.8,3.2
84,SUNY Maritime College,3.0,3.1,4.1,4.3,2.8,3.3,4.2,2.6,2.1,2.0,2.0
85,Canisius College,3.7,3.8,4.2,4.1,4.0,3.4,3.0,3.9,3.6,3.5,3.0
86,Hilbert College,3.4,3.2,3.8,3.9,4.0,3.8,4.5,3.0,3.0,3.3,2.7
87,SUNY Brockport,3.4,3.3,3.3,3.3,3.5,3.2,3.7,3.4,3.3,3.0,3.5
88,Daemen College,3.2,3.1,3.7,3.5,3.4,3.7,4.1,2.5,2.5,3.1,2.2
89,Siena College,3.8,4.1,4.2,4.2,4.0,4.0,4.5,3.8,3.7,3.1,2.9
90,Boricua College (all campuses),2.3,2.9,2.5,2.1,2.5,3.4,2.5,1.5,1.9,2.8,1.5
91,SUNY Delhi,3.2,3.1,3.3,3.3,3.3,2.8,3.1,3.5,3.1,2.8,2.6
92,SUNY Geneseo,3.7,3.9,4.3,3.5,3.9,3.3,4.4,3.7,3.6,3.2,2.9
93,Elmira College,3.1,4.0,3.0,3.1,3.2,2.5,2.9,3.2,2.9,2.6,2.6
94,Hartwick College,3.1,3.1,3.2,3.3,3.0,3.1,3.5,3.3,3.1,2.9,2.5
95,Yale University,4.1,4.2,4.5,4.2,4.1,3.5,3.6,4.0,4.0,4.1,3.9
96,Wesleyan University,4.2,4.3,4.7,4.1,4.3,3.5,4.0,4.2,4.1,3.7,4.3
97,Trinity College,3.6,3.9,4.1,3.9,3.9,2.8,2.8,3.4,3.8,3.2,2.9
98,University of Connecticut,3.9,4.0,4.2,3.9,4.0,3.0,4.1,4.1,3.9,3.4,3.4
99,Quinnipiac University,3.9,4.4,4.1,4.0,4.0,3.9,4.4,3.7,3.7,3.5,2.8
100,Sacred Heart University,3.8,4.1,3.9,3.8,3.9,3.5,4.1,3.8,3.6,3.6,3.3
101,University of New Haven,3.5,3.5,3.7,3.7,3.8,3.0,3.9,3.7,3.4,3.0,2.6
102,Albertus Magnus College,3.3,3.5,3.6,3.6,3.9,3.7,4.3,2.3,2.9,3.9,2.2
103,University of Hartford,3.2,3.1,3.2,3.4,3.4,3.3,3.2,3.4,3.2,3.3,2.9
104,University of Bridgeport,3.1,3.0,3.0,3.2,3.0,2.9,3.4,2.9,3.0,3.2,2.7
105,Mitchell College,2.7,2.7,2.6,2.7,3.6,3.2,3.8,2.4,2.4,2.2,2.0
106,Goodwin University,3.6,3.9,3.6,3.5,3.6,3.7,4.7,2.5,2.8,3.7,3.4
107,The College of Saint Rose,3.4,3.7,3.5,3.6,3.6,3.4,3.7,3.7,3.4,2.8,2.5
108,Paier College of Art,3.5,4.0,3.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0
109,Princeton University,4.4,4.5,4.7,4.4,4.4,4.2,4.9,4.2,4.2,4.0,4.2
110,The College of New Jersey,3.7,3.9,4.2,3.9,3.8,3.2,4.0,3.6,3.3,3.0,3.0
111,Rowan University,3.6,3.7,3.6,3.7,3.9,3.5,3.7,3.7,3.8,2.8,3.1
112,Stockton University,3.7,4.0,3.7,3.7,4.0,3.9,4.2,3.7,3.5,3.4,3.0
113,Rider University,3.5,3.5,3.6,3.8,3.6,3.6,4.2,3.4,2.9,3.3,3.2
114,Ramapo College of New Jersey,3.3,3.7,3.5,3.4,3.4,3.7,3.7,3.2,2.8,3.3,2.8
115,Caldwell University,3.3,3.4,3.3,3.3,3.6,3.7,4.6,3.0,2.8,2.7,2.9
116,New Jersey City University,3.2,3.4,3.3,3.3,3.4,3.4,3.4,2.9,2.8,3.3,2.9
117,Centenary University,2.9,2.8,2.7,2.8,3.1,2.9,4.1,2.3,2.5,3.1,2.7
118,Cazenovia College,3.0,3.5,3.0,3.0,2.8,2.5,4.7,3.1,2.5,2.3,2.2
119,Felician University (all campuses),3.1,3.3,3.3,3.3,3.3,3.7,3.6,2.6,2.9,3.1,2.5
120,Saint Peter's University,3.2,2.9,3.4,3.5,3.5,3.4,3.5,3.5,3.2,2.5,2.7
121,Bloomfield College,2.9,2.9,3.1,3.0,2.7,3.4,3.9,2.7,2.5,2.6,2.3
122,Eastwick College,3.4,3.8,3.8,3.5,3.5,4.3,3.5,2.3,2.5,4.0,3.3
123,Berkeley College,3.0,3.0,3.0,3.0,3.3,3.3,3.4,2.4,2.7,3.3,2.7
124,Pillar College,3.6,3.4,4.3,3.7,4.3,3.9,4.0,2.9,3.6,4.4,2.7
125,Thomas Edison State University,3.1,3.1,3.4,3.3,3.5,3.7,3.7,2.4,2.5,3.6,2.8
